Designator,Mid X,Mid Y,Layer,Rotation
R34,-116.6622mm,-40.5130mm,T,90
R29,-116.6622mm,-43.8150mm,T,90
R25,-116.6622mm,-47.4980mm,T,90
R20,-116.6622mm,-50.6730mm,T,90
R78,-116.7638mm,-97.5614mm,T,180
C81,-116.7638mm,-97.5614mm,B,360
R58,-118.0719mm,-19.1770mm,B,270
R56,-118.0719mm,-19.1770mm,T,270
R53,-118.0719mm,-22.4790mm,B,270
R51,-118.0719mm,-22.4790mm,T,270
R49,-118.0719mm,-26.1620mm,B,270
R47,-118.0719mm,-26.1620mm,T,270
R44,-118.0719mm,-29.3370mm,B,270
R42,-118.0719mm,-29.3370mm,T,270
R37,-118.1227mm,-40.5130mm,B,270
R35,-118.1227mm,-40.5130mm,T,270
R32,-118.1227mm,-43.8150mm,B,270
R30,-118.1227mm,-43.8150mm,T,270
R28,-118.1227mm,-47.4980mm,B,270
R26,-118.1227mm,-47.4980mm,T,270
R23,-118.1227mm,-50.6730mm,B,270
R21,-118.1227mm,-50.6730mm,T,270
R77,-119.8042mm,-97.5614mm,T,360
C80,-119.8042mm,-97.5614mm,B,180
R83,-120.4722mm,-100.4570mm,T,90
C67,-120.8024mm,-19.1770mm,T,90
C65,-120.8024mm,-22.4790mm,T,90
C63,-120.8024mm,-26.1620mm,T,90
C61,-120.8024mm,-29.3370mm,T,90
C57,-120.8532mm,-40.5130mm,T,90
C55,-120.8532mm,-43.8150mm,T,90
C53,-120.8532mm,-47.4980mm,T,90
C51,-120.8532mm,-50.6730mm,T,90
R82,-121.3358mm,-103.0224mm,T,180
L14,-121.8552mm,-108.3129mm,T,90
R75,-122.1232mm,-100.4570mm,T,90
C189,-122.3518mm,-59.3852mm,T,0
C85,-122.7836mm,-82.3454mm,T,90
C78,-122.7836mm,-73.0504mm,T,90
C77,-122.7836mm,-87.2744mm,T,90
R76,-122.8166mm,-97.5614mm,T,180
C79,-122.8166mm,-97.5614mm,B,360
R54,-124.6124mm,-16.6624mm,T,90
R48,-124.6124mm,-29.5148mm,T,270
R33,-124.6632mm,-37.9984mm,T,90
R27,-124.6632mm,-50.8508mm,T,270
R52,-125.9205mm,-16.6624mm,T,90
R45,-125.9205mm,-29.5148mm,T,270
R31,-125.9713mm,-37.9984mm,T,90
R24,-125.9713mm,-50.8508mm,T,270
C64,-127.2286mm,-16.6624mm,T,270
C62,-127.2286mm,-29.5148mm,T,90
C54,-127.2794mm,-37.9984mm,T,270
C52,-127.2794mm,-50.8508mm,T,90
C141,-128.2192mm,-82.2960mm,B,90
C173,-128.2192mm,-70.8518mm,T,90
C172,-128.2192mm,-76.5048mm,T,90
C171,-128.2192mm,-82.2960mm,T,90
C170,-128.2192mm,-88.0364mm,T,90
C169,-128.2192mm,-93.7768mm,T,90
C168,-128.2192mm,-99.5538mm,T,90
R39,-128.7272mm,-32.1818mm,B,360
C60,-128.7272mm,-29.1338mm,B,360
C58,-128.7272mm,-30.6578mm,B,360
R18,-128.7780mm,-53.4924mm,B,0
C50,-128.7780mm,-51.9938mm,B,0
C48,-128.7780mm,-50.4698mm,B,0
U5,-128.8542mm,-23.5458mm,T,90
U4,-128.9050mm,-44.8818mm,T,90
P31,-129.6080mm,18.8324mm,T,180
R314,-129.7178mm,-70.8518mm,T,270
R312,-129.7178mm,-76.5048mm,T,270
R310,-129.7178mm,-82.2960mm,T,270
R308,-129.7178mm,-88.0364mm,T,270
R306,-129.7178mm,-93.7768mm,T,270
R304,-129.7178mm,-99.5538mm,T,270
C66,-130.2258mm,-16.6624mm,T,270
C59,-130.2258mm,-29.5148mm,T,90
C56,-130.2766mm,-37.9984mm,T,270
C49,-130.2766mm,-50.8508mm,T,90
C196,-130.9370mm,-96.8248mm,T,180
C191,-131.0640mm,-79.6798mm,T,180
R57,-131.5466mm,-16.6624mm,T,90
R40,-131.5466mm,-29.5148mm,T,270
R36,-131.5974mm,-37.9984mm,T,90
R19,-131.5974mm,-50.8508mm,T,270
R59,-132.8674mm,-16.6624mm,T,90
R43,-132.8674mm,-29.5148mm,T,270
R38,-132.9182mm,-37.9984mm,T,90
R22,-132.9182mm,-50.8508mm,T,270
U51,-136.0170mm,-97.0788mm,B,0
U41,-136.1186mm,-71.5518mm,T,360
U40,-136.1186mm,-77.1398mm,T,360
U39,-136.1186mm,-83.0580mm,T,360
U38,-136.1186mm,-88.7476mm,T,360
U37,-136.1186mm,-94.4372mm,T,360
U36,-136.1186mm,-100.1268mm,T,360
U50,-136.1440mm,-74.5744mm,B,0
U32,-136.2202mm,-86.0552mm,B,180
JP26,-136.3472mm,-127.2986mm,T,360
C198,-140.6906mm,-97.7392mm,B,270
C192,-140.8938mm,-75.1840mm,B,90
R315,-142.4686mm,-72.0598mm,T,90
R313,-142.4686mm,-77.5066mm,T,90
R311,-142.4686mm,-83.5152mm,T,90
R309,-142.4686mm,-89.2302mm,T,90
R307,-142.4686mm,-94.8436mm,T,90
R305,-142.4686mm,-100.6460mm,T,90
P11,-142.6718mm,-5.0292mm,T,180
P12,-142.6718mm,-0.0508mm,T,180
C190,-144.4498mm,-26.6700mm,T,0
R321,-144.5006mm,-50.1904mm,T,270
R328,-147.3058mm,-71.7550mm,T,360
R326,-147.3058mm,-77.2668mm,T,360
R324,-147.3058mm,-83.2358mm,T,360
R322,-147.3058mm,-88.9254mm,T,360
R318,-147.3058mm,-94.7674mm,T,360
R316,-147.3058mm,-100.3554mm,T,360
C186,-147.3058mm,-70.3580mm,T,180
C184,-147.3058mm,-75.8838mm,T,180
C180,-147.3058mm,-81.8134mm,T,180
C177,-147.3058mm,-87.4522mm,T,180
C175,-147.3058mm,-93.2688mm,T,180
C174,-147.3058mm,-98.8060mm,T,180
C181,-147.8026mm,-52.5780mm,T,360
C179,-147.8026mm,-51.3080mm,T,360
C185,-148.3546mm,-36.2966mm,T,180
C183,-148.3546mm,-34.7726mm,T,180
U31,-151.1046mm,-43.5864mm,T,90
JP15,-151.9836mm,27.8434mm,T,180
C182,-152.9080mm,-104.5464mm,B,90
C193,-153.8546mm,-36.2966mm,T,180
C187,-153.8546mm,-34.7726mm,T,180
C178,-154.4320mm,-52.8232mm,T,180
C176,-154.4320mm,-51.5532mm,T,180
U48,-155.3718mm,-71.5518mm,T,360
U47,-155.3718mm,-77.1398mm,T,360
U46,-155.3718mm,-83.0580mm,T,360
U44,-155.3718mm,-88.7476mm,T,360
U43,-155.3718mm,-94.4372mm,T,360
U42,-155.3718mm,-100.1268mm,T,360
U45,-155.4988mm,-97.1296mm,B,360
JP16,-157.4932mm,27.8434mm,T,180
JP25,-157.6747mm,-127.2986mm,T,360
R320,-158.5214mm,-50.7746mm,T,270
U20,-159.6390mm,-15.3670mm,T,270
R330,-162.6362mm,-72.0598mm,T,90
R327,-162.6362mm,-77.5066mm,T,90
R325,-162.6362mm,-83.5152mm,T,90
R323,-162.6362mm,-89.2302mm,T,90
R319,-162.6362mm,-94.8436mm,T,90
R317,-162.6362mm,-100.6460mm,T,90
JP17,-163.0028mm,27.8434mm,T,180
C134,-163.5760mm,-10.9220mm,T,90
R164,-164.7190mm,-15.4940mm,T,360
R163,-164.7190mm,-14.0970mm,T,360
C135,-164.9730mm,-10.9220mm,T,90
C206,-167.9956mm,-88.4682mm,T,270
C203,-168.3766mm,-78.0908mm,T,90
JP18,-168.5124mm,27.8434mm,T,180
P14,-170.7388mm,-37.1856mm,T,270
U53,-172.5930mm,-92.2274mm,T,360
U52,-172.8470mm,-78.1558mm,T,180
JP19,-174.0220mm,27.8434mm,T,180
C207,-176.9618mm,-92.2924mm,T,90
C201,-177.1396mm,-81.9008mm,T,270
JP14,-179.0023mm,-127.2986mm,T,360
JP20,-179.5316mm,27.8434mm,T,180
JP21,-185.0412mm,27.8434mm,T,180
C130,-187.7314mm,-5.9832mm,T,90
C124,-187.7314mm,-20.1818mm,T,90
R160,-188.8124mm,1.0668mm,T,180
R158,-188.8124mm,-2.7432mm,T,180
R154,-188.8124mm,-13.1318mm,T,180
R153,-188.8124mm,-14.4018mm,T,180
R151,-188.8124mm,-16.9418mm,T,180
C128,-189.4586mm,-5.9832mm,T,90
C122,-189.4586mm,-20.1818mm,T,90
JP22,-190.5508mm,27.8434mm,T,180
R249,-191.8208mm,-112.2172mm,T,180
R248,-191.8208mm,-110.9726mm,B,180
R246,-191.8208mm,-109.6772mm,T,180
R245,-191.8208mm,-108.4326mm,B,180
R243,-191.8208mm,-107.1372mm,T,180
R242,-191.8208mm,-105.8418mm,B,180
R240,-191.8208mm,-104.6226mm,T,180
R239,-191.8208mm,-103.3018mm,B,180
R221,-191.8208mm,-100.4316mm,T,180
R220,-191.8208mm,-99.2124mm,B,180
R218,-191.8208mm,-97.9678mm,T,180
R217,-191.8208mm,-96.6978mm,B,180
R215,-191.8208mm,-95.4024mm,T,180
R214,-191.8208mm,-94.1324mm,B,180
R212,-191.8208mm,-92.8370mm,T,180
R211,-191.8208mm,-91.5924mm,B,180
R193,-191.8208mm,-87.5030mm,T,180
R192,-191.8208mm,-86.2330mm,B,180
R190,-191.8208mm,-84.9630mm,T,180
R189,-191.8208mm,-83.7003mm,B,180
R187,-191.8208mm,-82.4230mm,T,180
R186,-191.8208mm,-81.1530mm,B,180
R184,-191.8208mm,-79.8830mm,T,180
R183,-191.8208mm,-78.6130mm,B,180
R264,-193.6928mm,-65.8622mm,T,180
R261,-193.6928mm,-68.4022mm,T,180
R258,-193.6928mm,-70.9422mm,T,180
R255,-193.6928mm,-73.4822mm,T,180
R236,-193.6928mm,-53.2892mm,T,180
R233,-193.6928mm,-55.8292mm,T,180
R230,-193.6928mm,-58.3692mm,T,180
R227,-193.6928mm,-60.9092mm,T,180
R208,-193.6928mm,-41.6052mm,T,180
R205,-193.6928mm,-44.1452mm,T,180
R202,-193.6928mm,-46.6852mm,T,180
R199,-193.6928mm,-49.2252mm,T,180
R180,-193.6928mm,-29.4132mm,T,180
R177,-193.6928mm,-31.9532mm,T,180
R174,-193.6928mm,-34.4932mm,T,180
R171,-193.6928mm,-37.0332mm,T,180
U19,-197.6374mm,-0.8382mm,T,180
U18,-197.6374mm,-15.0368mm,T,180
U27,-198.6534mm,-107.7598mm,T,0
U25,-198.6534mm,-96.0120mm,T,360
U23,-198.6534mm,-83.0580mm,T,0
JP13,-200.3298mm,-127.2986mm,T,360
U28,-201.3712mm,-69.0372mm,T,180
U26,-201.3712mm,-56.4642mm,T,180
U24,-201.3712mm,-44.7802mm,T,180
U22,-201.3712mm,-32.5882mm,T,180
D4,-204.8510mm,2.4638mm,B,180
D3,-204.8510mm,-4.1402mm,B,180
D2,-204.8510mm,-18.1356mm,B,180
D1,-204.8510mm,-11.7348mm,B,180
J1,-205.8416mm,28.2100mm,B,180
R162,-206.6544mm,0.4968mm,T,270
R157,-206.6544mm,-2.1732mm,T,270
R155,-206.6544mm,-16.3718mm,T,90
R152,-206.6544mm,-13.7018mm,T,90
C131,-206.6544mm,-5.9832mm,T,90
C125,-206.6544mm,-20.1168mm,T,90
R250,-206.7052mm,-112.2172mm,T,180
R247,-206.7052mm,-109.6648mm,T,180
R244,-206.7052mm,-107.1248mm,T,180
R241,-206.7052mm,-104.5848mm,T,180
R222,-206.7052mm,-100.4570mm,T,180
R219,-206.7052mm,-97.9170mm,T,180
R216,-206.7052mm,-95.3770mm,T,180
R213,-206.7052mm,-92.8370mm,T,180
R194,-206.7052mm,-87.5030mm,T,180
R191,-206.7052mm,-84.9630mm,T,180
R188,-206.7052mm,-82.4230mm,T,180
R185,-206.7052mm,-79.8830mm,T,180
C133,-208.1784mm,0.4968mm,T,90
C132,-208.1784mm,-2.1732mm,T,270
C129,-208.1784mm,-5.9832mm,T,90
C127,-208.1784mm,-16.3718mm,T,270
C126,-208.1784mm,-13.7018mm,T,90
C123,-208.1784mm,-20.1168mm,T,90
R262,-209.3468mm,-68.4022mm,T,180
R253,-209.3468mm,-68.4022mm,B,180
R266,-209.3474mm,-64.5922mm,T,180
R265,-209.3474mm,-65.8622mm,T,180
R263,-209.3474mm,-67.1322mm,T,180
R260,-209.3474mm,-69.6722mm,T,180
R259,-209.3474mm,-70.9422mm,T,180
R257,-209.3474mm,-72.2122mm,T,180
R256,-209.3474mm,-73.4822mm,T,180
R254,-209.3474mm,-65.8622mm,B,180
R252,-209.3474mm,-70.9422mm,B,180
R251,-209.3474mm,-73.4822mm,B,180
R238,-209.3474mm,-52.0192mm,T,180
R237,-209.3474mm,-53.2892mm,T,180
R235,-209.3474mm,-54.5592mm,T,180
R234,-209.3474mm,-55.8292mm,T,180
R232,-209.3474mm,-57.0992mm,T,180
R231,-209.3474mm,-58.3692mm,T,180
R229,-209.3474mm,-59.6392mm,T,180
R228,-209.3474mm,-60.9092mm,T,180
R226,-209.3474mm,-53.2892mm,B,180
R225,-209.3474mm,-55.8292mm,B,180
R224,-209.3474mm,-58.3692mm,B,180
R223,-209.3474mm,-60.9092mm,B,180
R210,-209.3474mm,-40.3352mm,T,180
R209,-209.3474mm,-41.6052mm,T,180
R207,-209.3474mm,-42.8752mm,T,180
R206,-209.3474mm,-44.1452mm,T,180
R204,-209.3474mm,-45.4152mm,T,180
R203,-209.3474mm,-46.6852mm,T,180
R201,-209.3474mm,-47.9552mm,T,180
R200,-209.3474mm,-49.2252mm,T,180
R198,-209.3474mm,-41.6052mm,B,180
R197,-209.3474mm,-44.1452mm,B,180
R196,-209.3474mm,-46.6852mm,B,180
R195,-209.3474mm,-49.2252mm,B,180
R182,-209.3474mm,-28.1432mm,T,180
R181,-209.3474mm,-29.4132mm,T,180
R179,-209.3474mm,-30.6832mm,T,180
R178,-209.3474mm,-31.9532mm,T,180
R176,-209.3474mm,-33.2232mm,T,180
R175,-209.3474mm,-34.4932mm,T,180
R173,-209.3474mm,-35.7632mm,T,180
R172,-209.3474mm,-37.0332mm,T,180
R170,-209.3474mm,-29.4132mm,B,180
R169,-209.3474mm,-31.9532mm,B,180
R168,-209.3474mm,-34.4932mm,B,180
R167,-209.3474mm,-37.0332mm,B,180
R161,-213.5378mm,0.4968mm,T,270
R159,-213.5378mm,-2.1732mm,T,90
R156,-213.5378mm,-16.3718mm,T,90
R150,-213.5378mm,-13.7018mm,T,270
P17,-221.8292mm,-84.7262mm,T,270
P22,-221.8292mm,-104.6861mm,T,270
P26,-221.8292mm,-124.6460mm,T,270
JP9,-230.2764mm,-57.9120mm,T,270
JP10,-230.2796mm,-69.9770mm,T,270
JP8,-230.2796mm,-46.0756mm,T,270
JP12,-230.3272mm,-1.5748mm,T,270
JP11,-230.3272mm,-15.8750mm,T,270
JP7,-230.3272mm,-33.9358mm,T,270
